date,running_total
Wed Feb 17 2016 07:58:07 GMT-0800 (PST),580
Thu Feb 18 2016 07:46:04 GMT-0800 (PST),600
Thu Feb 18 2016 07:48:30 GMT-0800 (PST),620
Thu Feb 18 2016 08:55:52 GMT-0800 (PST),621
Thu Feb 18 2016 08:56:12 GMT-0800 (PST),622
Thu Feb 18 2016 08:56:19 GMT-0800 (PST),623
Thu Feb 18 2016 08:59:21 GMT-0800 (PST),624
Thu Feb 18 2016 10:02:03 GMT-0800 (PST),625
Thu Feb 18 2016 10:06:12 GMT-0800 (PST),626
Thu Feb 18 2016 10:33:23 GMT-0800 (PST),627
Thu Feb 18 2016 10:35:30 GMT-0800 (PST),628
Thu Feb 18 2016 11:25:33 GMT-0800 (PST),629
Thu Feb 18 2016 11:27:09 GMT-0800 (PST),630
Thu Feb 18 2016 15:00:29 GMT-0800 (PST),631
Thu Feb 18 2016 15:01:49 GMT-0800 (PST),632
Fri Feb 19 2016 13:46:37 GMT-0800 (PST),633
Fri Feb 19 2016 14:52:29 GMT-0800 (PST),634
Fri Feb 19 2016 20:49:07 GMT-0800 (PST),635
Fri Feb 19 2016 20:51:02 GMT-0800 (PST),636
Sat Feb 20 2016 14:02:52 GMT-0800 (PST),637
Sun Feb 21 2016 19:17:35 GMT-0800 (PST),638
Sun Feb 21 2016 20:06:17 GMT-0800 (PST),639
Sun Feb 21 2016 22:01:15 GMT-0800 (PST),640
Sun Feb 21 2016 22:03:42 GMT-0800 (PST),641
Mon Feb 22 2016 16:38:40 GMT-0800 (PST),642
Mon Feb 22 2016 19:55:18 GMT-0800 (PST),643
Mon Feb 22 2016 19:56:30 GMT-0800 (PST),644
Mon Feb 22 2016 19:58:57 GMT-0800 (PST),645
Mon Feb 22 2016 20:00:26 GMT-0800 (PST),646
Mon Feb 22 2016 21:44:01 GMT-0800 (PST),647
Mon Feb 22 2016 21:47:47 GMT-0800 (PST),648
Mon Feb 22 2016 21:51:05 GMT-0800 (PST),649
Mon Feb 22 2016 23:37:15 GMT-0800 (PST),650
Mon Feb 22 2016 23:37:16 GMT-0800 (PST),651
Mon Feb 22 2016 23:37:18 GMT-0800 (PST),652
Mon Feb 22 2016 23:38:28 GMT-0800 (PST),653
Mon Feb 22 2016 23:38:35 GMT-0800 (PST),654
Tue Feb 23 2016 08:49:43 GMT-0800 (PST),655
Tue Feb 23 2016 08:52:02 GMT-0800 (PST),656
Tue Feb 23 2016 08:54:09 GMT-0800 (PST),657
